,playerID,stint,2B,3B,A,AB,BB,CS,DP,E,GIDP,H,HBP,HR,IBB,InnOuts,PB,PO,R,RBI,SB,SF,SH,SO,WP,ZR,HOF
3863,rowelba01,13.0,95.0,26.0,750.0,1901.0,113.0,0.0,175.0,109.0,23.0,523.0,2.0,19.0,0.0,0.0,0.0,1041.0,200.0,217.0,37.0,0.0,27.0,105.0,0.0,0.0,0.0
3864,russeri01,11.0,52.0,8.0,367.0,1402.0,83.0,1.0,202.0,58.0,40.0,344.0,2.0,29.0,0.0,0.0,0.0,2398.0,133.0,192.0,4.0,0.0,35.0,142.0,0.0,0.0,0.0
3865,scalzsk01,2.0,0.0,0.0,18.0,18.0,3.0,0.0,3.0,4.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0
3866,schuljo05,9.0,13.0,1.0,16.0,328.0,37.0,1.0,3.0,8.0,8.0,85.0,0.0,1.0,0.0,0.0,2.0,201.0,18.0,46.0,0.0,0.0,2.0,21.0,0.0,0.0,0.0
3867,scottle01,1.0,15.0,1.0,7.0,232.0,22.0,0.0,1.0,5.0,6.0,65.0,0.0,1.0,0.0,0.0,0.0,109.0,31.0,26.0,5.0,0.0,6.0,14.0,0.0,0.0,0.0
3868,shillji01,10.0,8.0,5.0,102.0,131.0,8.0,0.0,24.0,14.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0,82.0,11.0,16.0,1.0,0.0,1.0,13.0,0.0,0.0,0.0
3869,silveke01,11.0,11.0,1.0,29.0,203.0,31.0,1.0,6.0,6.0,5.0,44.0,2.0,5.0,0.0,0.0,4.0,201.0,26.0,25.0,0.0,0.0,2.0,41.0,0.0,0.0,0.0
3870,sistisi01,36.0,121.0,19.0,1840.0,2999.0,283.0,5.0,305.0,172.0,62.0,732.0,16.0,27.0,0.0,0.0,0.0,1600.0,401.0,260.0,30.0,0.0,70.0,440.0,0.0,0.0,0.0
3871,spindha01,3.0,6.0,1.0,28.0,209.0,14.0,2.0,10.0,5.0,5.0,53.0,0.0,0.0,0.0,0.0,7.0,222.0,20.0,20.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0
3872,tiptoer01,7.0,80.0,19.0,21.0,1626.0,223.0,0.0,4.0,24.0,44.0,439.0,7.0,22.0,0.0,0.0,0.0,1015.0,212.0,151.0,20.0,0.0,32.0,127.0,0.0,0.0,0.0
3873,vanroma01,9.0,94.0,27.0,35.0,1844.0,139.0,0.0,11.0,36.0,60.0,493.0,8.0,20.0,0.0,0.0,0.0,993.0,232.0,303.0,2.0,0.0,19.0,155.0,0.0,0.0,0.0
